student_id,gender,major,study_hours,attendance_rate,assignment_score,midterm_score,final_score,average_score,passed,study_level,score_improvement
STU001,Female,Software Engineering,11.2,84.1,7.4,7.8,9.6,8.62,True,High,1.8
STU002,Male,Software Engineering,5.8,96.9,7.9,7.8,5.7,6.77,True,Moderate,-2.1
STU003,Female,Software Engineering,13.0,81.1,9.8,9.1,8.0,8.69,True,High,-1.1
STU004,Other,Software Engineering,13.8,87.7,8.8,8.1,9.6,8.99,True,High,1.5
STU005,Male,Computer Science,2.2,55.4,4.9,5.7,3.7,4.54,False,Low,-2.0
STU006,Female,Software Engineering,4.8,79.4,7.2,5.5,4.1,5.14,True,Low,-1.4
STU007,Female,Information Systems,10.5,69.9,5.9,6.1,6.2,6.11,True,High,0.1
STU008,Male,Computer Science,8.7,65.4,7.6,6.9,7.8,7.49,True,Moderate,0.9
STU009,Male,Software Engineering,9.9,69.5,4.7,5.0,4.3,4.59,False,Moderate,-0.7
STU010,Other,Computer Science,6.6,76.0,5.7,4.6,3.9,4.47,False,Moderate,-0.7
STU011,Female,Information Systems,13.5,91.0,7.6,7.1,6.0,6.65,True,High,-1.1
STU012,Other,Software Engineering,13.1,64.1,4.4,5.2,3.8,4.34,False,High,-1.4
STU013,Male,Software Engineering,10.3,80.8,5.5,6.1,5.5,5.68,True,High,-0.6
STU014,Other,Software Engineering,14.5,74.2,8.7,9.8,10.0,9.68,True,High,0.2
STU015,Female,Information Systems,11.9,76.1,7.3,7.5,7.5,7.46,True,High,0.0
STU016,Female,Software Engineering,6.6,92.0,6.9,5.8,8.0,7.12,True,Moderate,2.2
STU017,Female,Computer Science,11.5,86.5,8.7,10.0,8.6,9.04,True,High,-1.4
STU018,Male,Computer Science,6.2,96.0,8.7,8.0,8.3,8.29,True,Moderate,0.3
STU019,Other,Information Systems,13.5,78.1,7.5,6.3,7.1,6.94,True,High,0.8
STU020,Female,Software Engineering,9.8,71.6,7.9,7.4,5.5,6.55,True,Moderate,-1.9
STU021,Male,Computer Science,9.3,77.3,7.3,6.0,5.5,6.01,True,Moderate,-0.5
STU022,Female,Information Systems,7.3,82.9,5.3,5.7,3.6,4.57,False,Moderate,-2.1
STU023,Other,Computer Science,14.9,82.1,8.0,7.5,5.3,6.5,True,High,-2.2
STU024,Other,Software Engineering,9.4,67.0,5.0,4.4,3.4,4.02,False,Moderate,-1.0
STU025,Other,Information Systems,8.3,81.1,4.8,6.4,7.2,6.48,True,Moderate,0.8
STU026,Other,Software Engineering,8.6,82.7,6.1,6.9,6.5,6.54,True,Moderate,-0.4
STU027,Male,Computer Science,12.1,100.0,10.0,9.8,10.0,9.94,True,High,0.2
STU028,Other,Computer Science,11.5,100.0,9.5,10.0,10.0,9.9,True,High,0.0
STU029,Female,Software Engineering,11.7,69.8,3.9,6.2,6.4,5.84,True,High,0.2
STU030,Other,Computer Science,11.7,76.6,6.5,5.9,7.0,6.57,True,High,1.1
STU031,Other,Software Engineering,18.6,62.4,7.4,7.0,7.0,7.08,True,High,0.0
STU032,Other,Software Engineering,8.4,72.9,7.1,4.9,7.9,6.84,True,Moderate,3.0
STU033,Male,Software Engineering,8.0,83.8,6.6,6.7,6.0,6.33,True,Moderate,-0.7
STU034,Other,Software Engineering,6.7,94.5,5.7,4.8,5.4,5.28,True,Moderate,0.6
STU035,Male,Computer Science,12.5,71.3,6.4,9.6,9.2,8.76,True,High,-0.4
STU036,Female,Information Systems,14.5,72.2,7.6,8.5,6.7,7.42,True,High,-1.8
STU037,Other,Software Engineering,9.5,54.2,6.7,5.6,4.2,5.12,True,Moderate,-1.4
STU038,Female,Software Engineering,6.6,78.0,4.1,4.5,3.7,4.02,False,Moderate,-0.8
STU039,Female,Software Engineering,6.7,67.3,4.8,5.6,5.2,5.24,True,Moderate,-0.4
STU040,Male,Computer Science,12.6,73.6,7.5,7.6,8.5,8.03,True,High,0.9
STU041,Female,Software Engineering,13.0,69.5,6.6,7.3,6.4,6.71,True,High,-0.9
STU042,Other,Computer Science,12.2,78.9,7.8,9.1,8.1,8.34,True,High,-1.0
STU043,Male,Software Engineering,7.3,58.9,7.3,5.6,6.8,6.54,True,Moderate,1.2
STU044,Female,Software Engineering,10.9,62.4,9.8,9.1,9.0,9.19,True,High,-0.1
STU045,Other,Computer Science,10.5,100.0,7.4,8.4,9.4,8.7,True,High,1.0
STU046,Male,Computer Science,9.8,64.6,6.6,4.1,6.4,5.75,True,Moderate,2.3
STU047,Female,Computer Science,13.5,66.8,8.9,9.8,7.7,8.57,True,High,-2.1
STU048,Other,Information Systems,10.9,100.0,9.2,8.5,9.7,9.24,True,High,1.2
STU049,Male,Computer Science,12.7,100.0,9.9,10.0,9.4,9.68,True,High,-0.6
STU050,Female,Information Systems,10.3,65.9,7.3,6.4,8.3,7.53,True,High,1.9
STU051,Other,Computer Science,11.2,75.6,7.4,6.3,7.2,6.97,True,High,0.9
STU052,Male,Software Engineering,12.5,84.1,10.0,7.9,8.0,8.37,True,High,0.1
STU053,Other,Software Engineering,4.2,100.0,9.6,9.4,6.9,8.19,True,Low,-2.5
STU054,Other,Software Engineering,8.7,68.2,8.3,7.9,8.7,8.38,True,Moderate,0.8
STU055,Male,Computer Science,8.1,77.1,7.5,7.1,5.0,6.13,True,Moderate,-2.1
STU056,Other,Software Engineering,7.4,89.3,6.8,5.9,8.2,7.23,True,Moderate,2.3
STU057,Female,Information Systems,8.9,85.2,8.0,8.2,10.0,9.06,True,Moderate,1.8
STU058,Female,Computer Science,16.0,75.5,8.2,7.6,6.6,7.22,True,High,-1.0
STU059,Male,Information Systems,6.5,78.4,6.7,9.1,7.0,7.57,True,Moderate,-2.1
STU060,Other,Information Systems,13.9,63.5,7.7,6.1,6.7,6.72,True,High,0.6
STU061,Female,Computer Science,3.3,77.1,5.8,7.3,5.1,5.9,True,Low,-2.2
STU062,Male,Software Engineering,8.7,76.8,6.0,5.9,6.6,6.27,True,Moderate,0.7
STU063,Other,Information Systems,10.7,82.8,5.9,6.0,5.5,5.73,True,High,-0.5
STU064,Other,Software Engineering,12.3,73.3,3.5,5.2,6.9,5.71,True,High,1.7
STU065,Other,Software Engineering,12.8,85.7,7.3,7.2,6.3,6.77,True,High,-0.9
