student_id,gender,major,study_hours,attendance_rate,assignment_score,midterm_score,final_score
STU001,Female,Software Engineering,11.2,84.1,7.4,7.8,9.6
STU002,Male,Software Engineering,5.8,96.9,7.9,7.8,5.7
STU003,Female,Software Engineering,13.0,81.1,9.8,9.1,8.0
STU004,Other,Software Engineering,13.8,87.7,8.8,8.1,9.6
STU005,Male,Computer Science,2.2,55.4,4.9,5.7,3.7
STU006,Female,Software Engineering,4.8,79.4,7.2,5.5,4.1
STU007,Female,Information Systems,10.5,69.9,5.9,6.1,6.2
STU008,Male,Computer Science,8.7,65.4,7.6,6.9,7.8
STU009,Male,Software Engineering,9.9,69.5,4.7,5.0,4.3
STU010,Other,Computer Science,6.6,76.0,5.7,4.6,3.9
STU011,Female,Information Systems,13.5,91.0,7.6,7.1,6.0
STU012,Other,Software Engineering,13.1,64.1,4.4,5.2,3.8
STU013,Male,Software Engineering,10.3,80.8,5.5,6.1,5.5
STU014,Other,Software Engineering,14.5,74.2,8.7,9.8,10.0
STU015,Female,Information Systems,11.9,76.1,7.3,7.5,7.5
STU016,Female,Software Engineering,6.6,92.0,6.9,5.8,8.0
STU017,Female,Computer Science,11.5,86.5,8.7,10.0,8.6
STU018,Male,Computer Science,6.2,96.0,8.7,8.0,8.3
STU019,Other,Information Systems,13.5,78.1,7.5,6.3,7.1
STU020,Female,Software Engineering,9.8,71.6,7.9,7.4,5.5
STU021,Male,Computer Science,9.3,77.3,7.3,6.0,5.5
STU022,Female,Information Systems,7.3,82.9,5.3,5.7,3.6
STU023,Other,Computer Science,14.9,82.1,8.0,7.5,5.3
STU024,Other,Software Engineering,9.4,67.0,5.0,4.4,3.4
STU025,Other,Information Systems,8.3,81.1,4.8,6.4,7.2
STU026,Other,Software Engineering,8.6,82.7,6.1,6.9,6.5
STU027,Male,Computer Science,12.1,100.0,10.0,9.8,10.0
STU028,Other,Computer Science,11.5,100.0,9.5,10.0,10.0
STU029,Female,Software Engineering,11.7,69.8,3.9,6.2,6.4
STU030,Other,Computer Science,11.7,76.6,6.5,5.9,7.0
STU031,Other,Software Engineering,18.6,62.4,7.4,7.0,7.0
